county,capita
Ahrweiler,130086
Aichach-Friedberg,134655
Alb-Donau-Kreis,197076
Altenburger Land,89393
Altenkirchen (Westerwald),128805
Altmarkkreis Salzwedel,83173
Altötting,111516
Alzey-Worms,129687
Amberg,42207
Amberg-Sulzbach,103049
Ammerland,124859
Anhalt-Bitterfeld,158486
Ansbach,41798
Ansbach,184591
Aschaffenburg,71002
Aschaffenburg,174200
Augsburg,296582
Augsburg,253468
Aurich,189694
Bad Dürkheim,132671
Bad Kissingen,103235
Bad Kreuznach,158345
Bad Tölz-Wolfratshausen,127917
Baden-Badenkreis,55185
Bamberg,77373
Bamberg,147163
Barnim,185244
Bautzen,299758
Bayreuth,74783
Bayreuth,103664
Berchtesgadener Land,105929
Bergstraße,270340
Berlin,3669491
Bernkastel-Wittlich,112483
Biberach,201282
Bielefeld,334195
Birkenfeld,80951
Böblingen,392807
Bochum,365587
Bodenseekreis,217470
Bonn,329673
Börde,170923
Borken,371339
Bottrop,117565
Brandenburg an der Havel,72184
Braunschweig,249406
Breisgau-Hochschwarzwald,263601
Bremen,567559
Bremerhaven,113643
Burgenlandkreis,178846
Calw,159201
Celle,179011
Cham,127998
Chemnitz,246334
Cloppenburg,170682
Coburg,41072
Coburg,86747
Cochem-Zell,61375
Coesfeld,220586
Cottbus,99678
Cuxhaven,198038
Dachau,154899
Dahme-Spreewald,170791
Darmstadt,159878
Darmstadt-Dieburg,297844
Deggendorf,119478
Delmenhorst,77559
Dessau-Roßlau,80103
Diepholz,217089
Dillingen a.d.Donau,96562
Dingolfing-Landau,96683
Dithmarschen,133193
Donau-Ries,133783
Donnersbergkreis,75325
Dortmund,588250
Dresden,556780
Duisburg,498686
Düren,264638
Düsseldorf,621877
Ebersberg,143649
Eichsfeld,100006
Eichstätt,132881
Eifelkreis Bitburg-Prüm,99058
Eisenach,42250
Elbe-Elster,101827
Emden,49913
Emmendingen,166408
Emsland,326954
Ennepe-Ruhr-Kreis,324106
Enzkreis,199556
Erding,138182
Erfurt,213981
Erlangen,112528
Erlangen-Höchstadt,137262
Erzgebirgskreis,334948
Essen,582760
Esslingen,535024
Euskirchen,193656
Flensburg,90164
Forchheim,116203
"Frankenthal (Pfalz), kreisfreie Stadt",48762
Frankfurt (Oder),57751
Frankfurt am Main,763380
Freiburg im Breisgaukreis,231195
Freising,180007
Freudenstadt,118243
Freyung-Grafenau,78362
Friesland,98704
Fulda,223145
Fürstenfeldbruck,219311
Fürth,128497
Fürth,117853
Garmisch-Partenkirchen,88424
Gelsenkirchen,259645
Gera,93125
Germersheim,129013
Gießen,270688
Gifhorn,176523
Göppingen,258145
Görlitz,252725
Goslar,136292
Gotha,134908
Göttingen,326041
Grafschaft Bentheim,137162
Greiz,97398
Groß-Gerau,275726
Günzburg,127027
Gütersloh,364938
Hagen der FernUniversität,188686
Halle (Saale),238762
Hamburg,1847253
